gene_id_x,snp_count,exon_length,snp_density,gene_norm_x,gene_map,gene_id_y,expression,gene_norm_y
rna-NM_001144664.3,25,649,0.03852080123266564,NM_001144664,FBgn0259722,FBgn0259722,8.893675889328053,FBgn0259722
rna-NM_001144665.3,23,587,0.039182282793867124,NM_001144665,FBgn0259722,FBgn0259722,8.893675889328053,FBgn0259722
rna-NM_057682.4,45,2110,0.02132701421800948,NM_057682,FBgn0000316,FBgn0000316,85.3913043478261,FBgn0000316
rna-NM_166835.4,41,2054,0.019961051606621226,NM_166835,FBgn0000316,FBgn0000316,85.3913043478261,FBgn0000316
rna-NM_001272160.1,47,1411,0.03330970942593905,NM_001272160,FBgn0261446,FBgn0261446,2.5343873517786575,FBgn0261446
rna-NM_130479.3,50,1601,0.03123048094940662,NM_130479,FBgn0261446,FBgn0261446,2.5343873517786575,FBgn0261446
rna-NM_001014708.2,49,2961,0.016548463356973995,NM_001014708,FBgn0005427,FBgn0005427,74.99209486166008,FBgn0005427
rna-NM_001014707.2,49,2999,0.01633877959319773,NM_001014707,FBgn0005427,FBgn0005427,74.99209486166008,FBgn0005427
rna-NM_001014712.2,53,3035,0.017462932454695223,NM_001014712,FBgn0005427,FBgn0005427,74.99209486166008,FBgn0005427
rna-NM_001014711.2,56,3423,0.016359918200409,NM_001014711,FBgn0005427,FBgn0005427,74.99209486166008,FBgn0005427
rna-NM_001014709.2,56,3461,0.016180294712510836,NM_001014709,FBgn0005427,FBgn0005427,74.99209486166008,FBgn0005427
rna-NM_001014710.2,60,3497,0.017157563625965114,NM_001014710,FBgn0005427,FBgn0005427,74.99209486166008,FBgn0005427
rna-NM_166836.2,83,4807,0.01726648637403786,NM_166836,FBgn0005427,FBgn0005427,74.99209486166008,FBgn0005427
rna-NM_001272165.1,58,4140,0.014009661835748793,NM_001272165,FBgn0005427,FBgn0005427,74.99209486166008,FBgn0005427
rna-NM_001272164.1,57,3926,0.014518593988792664,NM_001272164,FBgn0005427,FBgn0005427,74.99209486166008,FBgn0005427
rna-NM_001272163.1,57,4025,0.014161490683229814,NM_001272163,FBgn0005427,FBgn0005427,74.99209486166008,FBgn0005427
rna-NM_057544.4,57,4042,0.014101929737753587,NM_057544,FBgn0005427,FBgn0005427,74.99209486166008,FBgn0005427
rna-NM_001258514.1,50,3589,0.013931457230426303,NM_001258514,FBgn0005427,FBgn0005427,74.99209486166008,FBgn0005427
rna-NM_001258515.1,57,4051,0.014070599851888422,NM_001258515,FBgn0005427,FBgn0005427,74.99209486166008,FBgn0005427
rna-NM_130483.3,41,3352,0.012231503579952268,NM_130483,FBgn0024989,FBgn0024989,4.592490118577077,FBgn0024989
rna-NM_001297804.1,50,4130,0.012106537530266344,NM_001297804,FBgn0024989,FBgn0024989,4.592490118577077,FBgn0024989
rna-NM_001297805.1,44,3428,0.012835472578763127,NM_001297805,FBgn0024989,FBgn0024989,4.592490118577077,FBgn0024989
rna-NM_166841.2,43,3402,0.012639623750734862,NM_166841,FBgn0024989,FBgn0024989,4.592490118577077,FBgn0024989
rna-NM_166840.2,42,3376,0.012440758293838863,NM_166840,FBgn0024989,FBgn0024989,4.592490118577077,FBgn0024989
rna-NM_001169157.2,111,4823,0.023014721127928676,NM_001169157,FBgn0040370,FBgn0040370,21.820158102766804,FBgn0040370
rna-NM_130481.4,33,1492,0.022117962466487937,NM_130481,FBgn0040370,FBgn0040370,21.820158102766804,FBgn0040370
rna-NM_001297806.1,38,1675,0.022686567164179106,NM_001297806,FBgn0040370,FBgn0040370,21.820158102766804,FBgn0040370
rna-NM_001144667.3,45,1711,0.026300409117475162,NM_001144667,FBgn0052816,FBgn0052816,18.3711462450593,FBgn0052816
rna-NM_001144668.2,40,1603,0.024953212726138492,NM_001144668,FBgn0052816,FBgn0052816,18.3711462450593,FBgn0052816
rna-NM_001297807.1,51,1730,0.029479768786127167,NM_001297807,FBgn0052816,FBgn0052816,18.3711462450593,FBgn0052816
rna-NM_166839.3,52,1805,0.028808864265927978,NM_166839,FBgn0052816,FBgn0052816,18.3711462450593,FBgn0052816
rna-NM_166838.3,52,1821,0.028555738605161998,NM_166838,FBgn0052816,FBgn0052816,18.3711462450593,FBgn0052816
rna-NM_001297808.1,53,1834,0.028898582333696837,NM_001297808,FBgn0052816,FBgn0052816,18.3711462450593,FBgn0052816
rna-NM_057476.3,19,917,0.020719738276990186,NM_057476,FBgn0000022,FBgn0000022,27.29209486166008,FBgn0000022
rna-NM_057455.3,41,1438,0.02851182197496523,NM_057455,FBgn0004170,FBgn0004170,58.92173913043479,FBgn0004170
rna-NM_057275.5,15,1097,0.013673655423883319,NM_057275,FBgn0002561,FBgn0002561,29.109881422924897,FBgn0002561
rna-NM_057346.5,37,2430,0.015226337448559672,NM_057346,FBgn0000137,FBgn0000137,0.7501976284584985,FBgn0000137
rna-NM_080292.4,59,2279,0.025888547608600262,NM_080292,FBgn0010019,FBgn0010019,0.922924901185769,FBgn0010019
rna-NM_080140.3,105,4142,0.025350072428778368,NM_080140,FBgn0266572,FBgn0266572,111.19762845849803,FBgn0266572
rna-NM_001297810.1,105,4163,0.02522219553206822,NM_001297810,FBgn0266572,FBgn0266572,111.19762845849803,FBgn0266572
rna-NM_001297809.1,105,4160,0.025240384615384616,NM_001297809,FBgn0266572,FBgn0266572,111.19762845849803,FBgn0266572
gene-Dmel_CR18275,53,2309,0.022953659592897357,CR18275,FBgn0029523,FBgn0029523,1.9517786561264812,FBgn0029523
rna-NM_001103388.4,22,812,0.027093596059113302,NM_001103388,FBgn0029522,FBgn0029522,40.16284584980237,FBgn0029522
rna-NM_130484.3,21,743,0.02826379542395693,NM_130484,FBgn0029522,FBgn0029522,40.16284584980237,FBgn0029522
gene-Dmel_CR18166,44,1707,0.025776215582893967,CR18166,FBgn0029526,FBgn0029526,1.0241106719367592,FBgn0029526
rna-NM_001272167.1,17,787,0.021601016518424398,NM_001272167,FBgn0029524,FBgn0029524,4.023715415019764,FBgn0029524
rna-NM_001272168.1,15,526,0.028517110266159697,NM_001272168,FBgn0029524,FBgn0029524,4.023715415019764,FBgn0029524
rna-NM_001297811.1,12,627,0.019138755980861243,NM_001297811,FBgn0029524,FBgn0029524,4.023715415019764,FBgn0029524
rna-NM_130486.4,11,517,0.02127659574468085,NM_130486,FBgn0029524,FBgn0029524,4.023715415019764,FBgn0029524
rna-NM_130487.4,187,4342,0.043067710732381394,NM_130487,FBgn0029525,FBgn0029525,11.15810276679842,FBgn0029525
rna-NM_130488.3,115,2345,0.04904051172707889,NM_130488,FBgn0023536,FBgn0023536,5.430830039525684,FBgn0023536
rna-NM_130489.3,89,1950,0.045641025641025644,NM_130489,FBgn0023537,FBgn0023537,37.17826086956528,FBgn0023537
rna-NM_166844.1,84,2123,0.039566650965614694,NM_166844,FBgn0023537,FBgn0023537,37.17826086956528,FBgn0023537
rna-NM_206599.2,255,5904,0.043191056910569105,NM_206599,FBgn0004648,FBgn0004648,59.01185770750988,FBgn0004648
rna-NM_166846.5,253,5842,0.04330708661417323,NM_166846,FBgn0004648,FBgn0004648,59.01185770750988,FBgn0004648
rna-NM_206598.3,133,3144,0.0423027989821883,NM_206598,FBgn0004648,FBgn0004648,59.01185770750988,FBgn0004648
rna-NM_001297813.1,132,3092,0.042690815006468305,NM_001297813,FBgn0004648,FBgn0004648,59.01185770750988,FBgn0004648
rna-NM_080293.4,259,5890,0.04397283531409168,NM_080293,FBgn0004648,FBgn0004648,59.01185770750988,FBgn0004648
rna-NM_206596.2,257,5828,0.044097460535346605,NM_206596,FBgn0004648,FBgn0004648,59.01185770750988,FBgn0004648
rna-NM_206597.2,137,3130,0.04376996805111821,NM_206597,FBgn0004648,FBgn0004648,59.01185770750988,FBgn0004648
rna-NM_176679.3,246,5611,0.04384245232578863,NM_176679,FBgn0004648,FBgn0004648,59.01185770750988,FBgn0004648
rna-NM_001297815.1,211,4986,0.04231849177697553,NM_001297815,FBgn0004648,FBgn0004648,59.01185770750988,FBgn0004648
rna-NM_001144669.2,227,5267,0.04309853806721094,NM_001144669,FBgn0004648,FBgn0004648,59.01185770750988,FBgn0004648
rna-NM_001297814.1,124,2851,0.043493511048754825,NM_001297814,FBgn0004648,FBgn0004648,59.01185770750988,FBgn0004648
rna-NM_001258518.3,481,10506,0.0457833618884447,NM_001258518,FBgn0260400,FBgn0260400,19.942292490118575,FBgn0260400
rna-NM_001014713.4,137,2602,0.05265180630284397,NM_001014713,FBgn0260400,FBgn0260400,19.942292490118575,FBgn0260400
rna-NM_001144670.2,119,2248,0.052935943060498224,NM_001144670,FBgn0260400,FBgn0260400,19.942292490118575,FBgn0260400
rna-NM_080294.5,136,2505,0.05429141716566866,NM_080294,FBgn0260400,FBgn0260400,19.942292490118575,FBgn0260400
rna-NM_001038727.1,85,1976,0.0430161943319838,NM_001038727,FBgn0024983,FBgn0024983,31.221343873517785,FBgn0024983
rna-NM_001038728.3,65,1677,0.03875968992248062,NM_001038728,FBgn0024983,FBgn0024983,31.221343873517785,FBgn0024983
rna-NM_001272170.1,68,1683,0.04040404040404041,NM_001272170,FBgn0024983,FBgn0024983,31.221343873517785,FBgn0024983
rna-NM_130491.5,68,1689,0.04026050917702783,NM_130491,FBgn0024983,FBgn0024983,31.221343873517785,FBgn0024983
rna-NM_166847.4,76,1790,0.042458100558659215,NM_166847,FBgn0024983,FBgn0024983,31.221343873517785,FBgn0024983
rna-NM_001258522.2,255,6324,0.04032258064516129,NM_001258522,FBgn0000108,FBgn0000108,1.9889328063241132,FBgn0000108
rna-NM_001258521.2,221,5425,0.04073732718894009,NM_001258521,FBgn0000108,FBgn0000108,1.9889328063241132,FBgn0000108
rna-NM_001258523.2,221,5425,0.04073732718894009,NM_001258523,FBgn0000108,FBgn0000108,1.9889328063241132,FBgn0000108
rna-NM_057278.5,221,5422,0.04075986720767245,NM_057278,FBgn0000108,FBgn0000108,1.9889328063241132,FBgn0000108
rna-NM_001258520.2,215,5251,0.04094458198438393,NM_001258520,FBgn0000108,FBgn0000108,1.9889328063241132,FBgn0000108
rna-NM_001258519.1,255,6331,0.04027799715684726,NM_001258519,FBgn0000108,FBgn0000108,1.9889328063241132,FBgn0000108
rna-NM_001042788.4,106,3412,0.031066822977725676,NM_001042788,FBgn0261930,FBgn0261930,11.234782608695653,FBgn0261930
rna-NM_057438.4,71,3033,0.023409165842400263,NM_057438,FBgn0261930,FBgn0261930,11.234782608695653,FBgn0261930
rna-NM_001297820.1,175,3741,0.04677893611333868,NM_001297820,FBgn0025633,FBgn0025633,163.62055335968378,FBgn0025633
rna-NM_001297817.1,209,4307,0.048525655908985374,NM_001297817,FBgn0025633,FBgn0025633,163.62055335968378,FBgn0025633
rna-NM_130492.3,209,4310,0.04849187935034803,NM_130492,FBgn0025633,FBgn0025633,163.62055335968378,FBgn0025633
rna-NM_001297818.1,215,4391,0.04896378956957413,NM_001297818,FBgn0025633,FBgn0025633,163.62055335968378,FBgn0025633
rna-NM_001042789.2,218,4398,0.049567985447930875,NM_001042789,FBgn0025633,FBgn0025633,163.62055335968378,FBgn0025633
rna-NM_001297819.1,220,4448,0.04946043165467626,NM_001297819,FBgn0025633,FBgn0025633,163.62055335968378,FBgn0025633
rna-NM_001297816.1,242,4725,0.051216931216931216,NM_001297816,FBgn0025633,FBgn0025633,163.62055335968378,FBgn0025633
rna-NM_130493.2,28,499,0.056112224448897796,NM_130493,FBgn0029529,FBgn0029529,8.921343873517786,FBgn0029529
rna-NM_080295.3,73,1343,0.054355919583023084,NM_080295,FBgn0016038,FBgn0016038,61.78260869565217,FBgn0016038
rna-NM_166850.2,73,1331,0.054845980465815174,NM_166850,FBgn0016038,FBgn0016038,61.78260869565217,FBgn0016038
rna-NM_166848.2,73,1332,0.054804804804804805,NM_166848,FBgn0016038,FBgn0016038,61.78260869565217,FBgn0016038
rna-NM_001272172.1,72,1294,0.05564142194744977,NM_001272172,FBgn0016038,FBgn0016038,61.78260869565217,FBgn0016038
rna-NM_001272171.1,72,1323,0.05442176870748299,NM_001272171,FBgn0016038,FBgn0016038,61.78260869565217,FBgn0016038
rna-NM_166849.2,70,1099,0.06369426751592357,NM_166849,FBgn0016038,FBgn0016038,61.78260869565217,FBgn0016038
rna-NM_130494.4,58,1175,0.04936170212765958,NM_130494,FBgn0025640,FBgn0025640,5.28498023715415,FBgn0025640
rna-NM_144243.2,11,387,0.028423772609819122,NM_144243,FBgn0026879,FBgn0026879,21.043478260869566,FBgn0026879
rna-NM_143797.3,69,2256,0.030585106382978722,NM_143797,FBgn0025635,FBgn0025635,108.38735177865613,FBgn0025635
rna-NM_166852.3,67,2199,0.030468394724874944,NM_166852,FBgn0025635,FBgn0025635,108.38735177865613,FBgn0025635
rna-NM_166851.3,68,2197,0.030951297223486572,NM_166851,FBgn0025635,FBgn0025635,108.38735177865613,FBgn0025635
rna-NM_001297821.1,20,493,0.04056795131845842,NM_001297821,FBgn0002579,FBgn0002579,1022.9130434782609,FBgn0002579
rna-NM_057281.4,22,568,0.03873239436619718,NM_057281,FBgn0002579,FBgn0002579,1022.9130434782609,FBgn0002579
rna-NM_166855.2,22,535,0.041121495327102804,NM_166855,FBgn0002579,FBgn0002579,1022.9130434782609,FBgn0002579
rna-NM_166853.2,22,555,0.03963963963963964,NM_166853,FBgn0002579,FBgn0002579,1022.9130434782609,FBgn0002579
rna-NM_166854.2,22,592,0.037162162162162164,NM_166854,FBgn0002579,FBgn0002579,1022.9130434782609,FBgn0002579
rna-NM_057245.3,147,3680,0.03994565217391304,NM_057245,FBgn0001341,FBgn0001341,20.956521739130434,FBgn0001341
rna-NM_057903.4,72,1613,0.044637321760694355,NM_057903,FBgn0020381,FBgn0020381,2.652964426877475,FBgn0020381
rna-NM_057901.4,72,1631,0.04414469650521153,NM_057901,FBgn0020381,FBgn0020381,2.652964426877475,FBgn0020381
rna-NM_057902.4,73,1689,0.04322084073416223,NM_057902,FBgn0020381,FBgn0020381,2.652964426877475,FBgn0020381
rna-NM_001297822.1,73,1650,0.04424242424242424,NM_001297822,FBgn0020381,FBgn0020381,2.652964426877475,FBgn0020381
rna-NM_057406.4,187,4901,0.03815547847378086,NM_057406,FBgn0003575,FBgn0003575,162.82608695652175,FBgn0003575
rna-NM_001297823.1,187,4889,0.038249130701574964,NM_001297823,FBgn0003575,FBgn0003575,162.82608695652175,FBgn0003575
rna-NM_001297824.1,179,4657,0.03843676186386086,NM_001297824,FBgn0003575,FBgn0003575,162.82608695652175,FBgn0003575
rna-NM_130495.2,34,1550,0.02193548387096774,NM_130495,FBgn0025634,FBgn0025634,6.881422924901175,FBgn0025634
rna-NM_001144671.3,47,1229,0.03824247355573637,NM_001144671,FBgn0025638,FBgn0025638,207.94466403162056,FBgn0025638
rna-NM_001297825.1,38,1145,0.03318777292576419,NM_001297825,FBgn0025638,FBgn0025638,207.94466403162056,FBgn0025638
rna-NM_130496.4,21,696,0.03017241379310345,NM_130496,FBgn0025638,FBgn0025638,207.94466403162056,FBgn0025638
rna-NM_130497.4,196,6137,0.03193742871109663,NM_130497,FBgn0025639,FBgn0025639,204.08300395256916,FBgn0025639
rna-NM_001258524.1,170,5149,0.03301611963488056,NM_001258524,FBgn0025639,FBgn0025639,204.08300395256916,FBgn0025639
rna-NM_166858.3,52,1472,0.035326086956521736,NM_166858,FBgn0025637,FBgn0025637,110.52173913043478,FBgn0025637
rna-NM_058042.5,35,1087,0.03219871205151794,NM_058042,FBgn0025637,FBgn0025637,110.52173913043478,FBgn0025637
rna-NM_001038729.3,46,1544,0.029792746113989636,NM_001038729,FBgn0025637,FBgn0025637,110.52173913043478,FBgn0025637
rna-NM_166857.3,28,1050,0.02666666666666667,NM_166857,FBgn0025637,FBgn0025637,110.52173913043478,FBgn0025637
rna-NM_166856.3,26,935,0.027807486631016044,NM_166856,FBgn0025637,FBgn0025637,110.52173913043478,FBgn0025637
rna-NM_166861.3,24,845,0.028402366863905324,NM_166861,FBgn0025637,FBgn0025637,110.52173913043478,FBgn0025637
rna-NM_166860.3,26,913,0.028477546549835708,NM_166860,FBgn0025637,FBgn0025637,110.52173913043478,FBgn0025637
rna-NM_166859.3,25,869,0.028768699654775604,NM_166859,FBgn0025637,FBgn0025637,110.52173913043478,FBgn0025637
rna-NM_001297826.1,22,826,0.026634382566585957,NM_001297826,FBgn0025637,FBgn0025637,110.52173913043478,FBgn0025637
rna-NM_001169159.2,414,9406,0.04401445885604933,NM_001169159,FBgn0021764,FBgn0021764,98.9209486166008,FBgn0021764
rna-NM_057942.5,415,8984,0.046193232413178985,NM_057942,FBgn0021764,FBgn0021764,98.9209486166008,FBgn0021764
rna-NM_134315.4,414,8960,0.046205357142857145,NM_134315,FBgn0021764,FBgn0021764,98.9209486166008,FBgn0021764
rna-NM_001297827.1,419,9031,0.04639574797918281,NM_001297827,FBgn0021764,FBgn0021764,98.9209486166008,FBgn0021764
rna-NM_134314.4,414,8908,0.04647507858105074,NM_134314,FBgn0021764,FBgn0021764,98.9209486166008,FBgn0021764
rna-NM_001297828.1,414,8896,0.046537769784172664,NM_001297828,FBgn0021764,FBgn0021764,98.9209486166008,FBgn0021764
rna-NM_001297829.1,411,8740,0.04702517162471396,NM_001297829,FBgn0021764,FBgn0021764,98.9209486166008,FBgn0021764
rna-NM_057941.5,414,8843,0.0468166911681556,NM_057941,FBgn0021764,FBgn0021764,98.9209486166008,FBgn0021764
rna-NM_001169160.2,413,8774,0.04707089126966036,NM_001169160,FBgn0021764,FBgn0021764,98.9209486166008,FBgn0021764
rna-NM_001297830.1,69,1362,0.05066079295154185,NM_001297830,FBgn0040383,FBgn0040383,2.206324110671941,FBgn0040383
rna-NM_130500.4,65,1236,0.052588996763754045,NM_130500,FBgn0040383,FBgn0040383,2.206324110671941,FBgn0040383
rna-NM_166862.4,94,2193,0.04286365709074327,NM_166862,FBgn0040382,FBgn0040382,40.27707509881423,FBgn0040382
rna-NM_130501.6,92,2124,0.04331450094161959,NM_130501,FBgn0040382,FBgn0040382,40.27707509881423,FBgn0040382
rna-NM_166863.4,91,2103,0.0432715168806467,NM_166863,FBgn0040382,FBgn0040382,40.27707509881423,FBgn0040382
rna-NM_057786.5,65,1100,0.05909090909090909,NM_057786,FBgn0015288,FBgn0015288,468.699604743083,FBgn0015288
rna-NM_001297831.1,108,3250,0.03323076923076923,NM_001297831,FBgn0027343,FBgn0027343,15.14268774703556,FBgn0027343
rna-NM_080296.3,81,2249,0.03601600711427301,NM_080296,FBgn0027343,FBgn0027343,15.14268774703556,FBgn0027343
rna-NM_001103389.2,78,2304,0.033854166666666664,NM_001103389,FBgn0027343,FBgn0027343,15.14268774703556,FBgn0027343
rna-NM_001272173.1,77,2840,0.027112676056338027,NM_001272173,FBgn0086368,FBgn0086368,0.5604743083003958,FBgn0086368
rna-NM_130502.3,74,2671,0.027704979408461252,NM_130502,FBgn0086368,FBgn0086368,0.5604743083003958,FBgn0086368
rna-NM_001297832.1,212,3915,0.054150702426564494,NM_001297832,FBgn0025621,FBgn0025621,27.288537549407113,FBgn0025621
rna-NM_130504.3,187,3208,0.05829177057356608,NM_130504,FBgn0025621,FBgn0025621,27.288537549407113,FBgn0025621
rna-NM_080297.3,197,3619,0.054434926775352305,NM_080297,FBgn0015799,FBgn0015799,64.04743083003953,FBgn0015799
rna-NM_001272174.1,74,1749,0.04230989136649514,NM_001272174,FBgn0260855,FBgn0260855,168.6798418972332,FBgn0260855
rna-NM_130507.3,74,1743,0.042455536431440045,NM_130507,FBgn0260855,FBgn0260855,168.6798418972332,FBgn0260855
rna-NM_001272180.1,281,6920,0.04060693641618497,NM_001272180,FBgn0264449,FBgn0264449,33.15415019762846,FBgn0264449
rna-NM_001272178.2,298,7150,0.04167832167832168,NM_001272178,FBgn0264449,FBgn0264449,33.15415019762846,FBgn0264449
rna-NM_001272175.1,305,7402,0.04120507970818698,NM_001272175,FBgn0264449,FBgn0264449,33.15415019762846,FBgn0264449
rna-NM_001297833.1,305,7498,0.04067751400373433,NM_001297833,FBgn0264449,FBgn0264449,33.15415019762846,FBgn0264449
rna-NM_001272179.1,278,6794,0.04091845746246688,NM_001272179,FBgn0264449,FBgn0264449,33.15415019762846,FBgn0264449
rna-NM_001272177.1,289,6684,0.04323758228605625,NM_001272177,FBgn0264449,FBgn0264449,33.15415019762846,FBgn0264449
rna-NM_001103390.2,298,7135,0.04176594253679047,NM_001103390,FBgn0264449,FBgn0264449,33.15415019762846,FBgn0264449
rna-NM_001272176.1,258,6901,0.037385886103463266,NM_001272176,FBgn0264449,FBgn0264449,33.15415019762846,FBgn0264449
rna-NM_058041.4,265,7087,0.037392408635529846,NM_058041,FBgn0264449,FBgn0264449,33.15415019762846,FBgn0264449
rna-NM_001103391.1,233,6390,0.03646322378716745,NM_001103391,FBgn0264449,FBgn0264449,33.15415019762846,FBgn0264449
rna-NM_130513.4,218,4335,0.0502883506343714,NM_130513,FBgn0040344,FBgn0040344,5.2288537549407135,FBgn0040344
rna-NM_001272185.2,212,4056,0.05226824457593689,NM_001272185,FBgn0040344,FBgn0040344,5.2288537549407135,FBgn0040344
rna-NM_130514.5,23,602,0.03820598006644518,NM_130514,FBgn0040339,FBgn0040339,21.90513833992095,FBgn0040339
rna-NM_166867.2,163,2100,0.07761904761904762,NM_166867,FBgn0040340,FBgn0040340,83.300395256917,FBgn0040340
rna-NM_166866.2,145,1777,0.08159819921215532,NM_166866,FBgn0040340,FBgn0040340,83.300395256917,FBgn0040340
rna-NM_001272186.1,135,1656,0.08152173913043478,NM_001272186,FBgn0040340,FBgn0040340,83.300395256917,FBgn0040340
rna-NM_001258527.1,129,1623,0.07948243992606285,NM_001258527,FBgn0040340,FBgn0040340,83.300395256917,FBgn0040340
rna-NM_166868.1,167,1896,0.08808016877637131,NM_166868,FBgn0040340,FBgn0040340,83.300395256917,FBgn0040340
rna-NM_130516.4,79,1515,0.05214521452145215,NM_130516,FBgn0040346,FBgn0040346,25.063241106719367,FBgn0040346
rna-NM_130517.3,118,2155,0.054756380510440836,NM_130517,FBgn0040347,FBgn0040347,82.42687747035573,FBgn0040347
rna-NM_130519.3,22,839,0.026221692491060787,NM_130519,FBgn0040349,FBgn0040349,0.8019762845849803,FBgn0040349
rna-NM_001201591.3,259,4288,0.06040111940298507,NM_001201591,FBgn0003638,FBgn0003638,28.58893280632411,FBgn0003638
rna-NM_206600.3,318,4836,0.06575682382133995,NM_206600,FBgn0003638,FBgn0003638,28.58893280632411,FBgn0003638
rna-NM_206601.3,260,4056,0.0641025641025641,NM_206601,FBgn0003638,FBgn0003638,28.58893280632411,FBgn0003638
rna-NM_001272187.2,229,3355,0.06825633383010432,NM_001272187,FBgn0003638,FBgn0003638,28.58893280632411,FBgn0003638
rna-NM_001258529.2,231,3609,0.06400665004156277,NM_001258529,FBgn0003638,FBgn0003638,28.58893280632411,FBgn0003638
rna-NM_001258528.2,221,3478,0.06354226566992524,NM_001258528,FBgn0003638,FBgn0003638,28.58893280632411,FBgn0003638
rna-NM_057408.6,213,3199,0.0665833072835261,NM_057408,FBgn0003638,FBgn0003638,28.58893280632411,FBgn0003638
rna-NM_130523.3,115,2462,0.04670999187652315,NM_130523,FBgn0040351,FBgn0040351,1.8822134387351803,FBgn0040351
rna-NM_166869.4,103,1664,0.061899038461538464,NM_166869,FBgn0052814,FBgn0052814,1.0355731225296438,FBgn0052814
rna-NM_144382.4,87,1412,0.06161473087818697,NM_144382,FBgn0040337,FBgn0040337,30.731620553359686,FBgn0040337
rna-NM_130524.5,188,2214,0.08491418247515808,NM_130524,FBgn0026143,FBgn0026143,193.79841897233203,FBgn0026143
rna-NM_001042791.3,56,711,0.07876230661040788,NM_001042791,FBgn0266569,FBgn0266569,4.374308300395257,FBgn0266569
rna-NM_001258530.1,34,486,0.06995884773662552,NM_001258530,FBgn0266569,FBgn0266569,4.374308300395257,FBgn0266569
rna-NM_130525.4,43,1107,0.03884372177055104,NM_130525,FBgn0040398,FBgn0040398,2.1494071146245086,FBgn0040398
rna-NM_001103392.2,205,4995,0.04104104104104104,NM_001103392,FBgn0040397,FBgn0040397,34.715415019762844,FBgn0040397
rna-NM_001272190.2,175,4325,0.04046242774566474,NM_001272190,FBgn0040397,FBgn0040397,34.715415019762844,FBgn0040397
rna-NM_130526.3,201,4766,0.04217373059169115,NM_130526,FBgn0040397,FBgn0040397,34.715415019762844,FBgn0040397
rna-NM_001272189.2,201,4766,0.04217373059169115,NM_001272189,FBgn0040397,FBgn0040397,34.715415019762844,FBgn0040397
rna-NM_130539.3,104,1884,0.055201698513800426,NM_130539,FBgn0040367,FBgn0040367,5.06205533596838,FBgn0040367
rna-NM_001297839.1,101,1744,0.05791284403669725,NM_001297839,FBgn0040367,FBgn0040367,5.06205533596838,FBgn0040367
rna-NM_001272193.2,150,3018,0.04970178926441352,NM_001272193,FBgn0040366,FBgn0040366,19.05573122529646,FBgn0040366
rna-NM_130540.4,77,1487,0.05178211163416274,NM_130540,FBgn0040366,FBgn0040366,19.05573122529646,FBgn0040366
rna-NM_166874.3,320,8745,0.03659233847913093,NM_166874,FBgn0261444,FBgn0261444,92.28063241106719,FBgn0261444
rna-NM_166873.3,293,8332,0.035165626500240035,NM_166873,FBgn0261444,FBgn0261444,92.28063241106719,FBgn0261444
rna-NM_130541.4,226,6636,0.03405666063893912,NM_130541,FBgn0261444,FBgn0261444,92.28063241106719,FBgn0261444
rna-NM_001316632.1,226,6636,0.03405666063893912,NM_001316632,FBgn0261444,FBgn0261444,92.28063241106719,FBgn0261444
